index,group,energ_kcal,lipid_tot,carbohydrt,protein,name
60,2.0,63.68,15.92,0.0,0.0,"ALIMENTO PARA BEBE GERBER, FRUTAS TROPICALES (PURE)"
61,2.0,67.24,16.81,0.0,0.0,"ALIMENTO PARA BEBE GERBER, GUAYABA (PURE)"
62,2.0,74.0,18.3,0.0,0.3,"ALIMENTO PARA BEBE GERBER, GUAYABA CON TAPIOCA"
63,2.0,97.0,1.4,3.8,14.3,"ALIMENTO PARA BEBE GERBER, HIGADO PARA BEBE (PURE)"
64,2.0,60.64,9.2,1.76,2.0,"ALIMENTO PARA BEBE GERBER, JAMON CON PIÑA (JUNIOR)"
65,2.0,65.78,6.46,3.18,2.83,"ALIMENTO PARA BEBE GERBER, JAMON CON VERDURAS (PURE)"
66,2.0,44.06,11.06,0.0,0.0,"ALIMENTO PARA BEBE GERBER, JUGO DE ZANAHORIA"
67,2.0,52.0,7.5,1.5,2.1,"ALIMENTO PARA BEBE GERBER, MACARRONES CON POLLO (PURE)"
68,2.0,56.14,9.6,0.94,2.32,"ALIMENTO PARA BEBE GERBER, MACARRONES CON QUESO Y RES (JUNIOR)"
69,2.0,54.2,13.55,0.0,0.0,"ALIMENTO PARA BEBE GERBER, MANGO (NECTAR)"
70,2.0,53.82,12.94,0.1,0.29,"ALIMENTO PARA BEBE GERBER, MANGO (POSTRE, JUNIOR)"
71,2.0,67.24,16.81,0.0,0.0,"ALIMENTO PARA BEBE GERBER, MANGO (PURE)"
72,2.0,89.0,21.6,0.2,0.3,"ALIMENTO PARA BEBE GERBER, MANGO CON TAPIOCA O TRIGO (PURE)"
73,2.0,72.62,15.88,0.7,0.7,"ALIMENTO PARA BEBE GERBER, MANGO CON YOGURT (PURE)"
74,2.0,54.2,13.55,0.0,0.0,"ALIMENTO PARA BEBE GERBER, MANZANA (JUGO)"
75,2.0,54.2,13.55,0.0,0.0,"ALIMENTO PARA BEBE GERBER, MANZANA (NECTAR)"
76,2.0,79.12,16.81,1.32,0.0,"ALIMENTO PARA BEBE GERBER, MANZANA (POSTRE)"
77,2.0,57.82,14.0,0.1,0.23,"ALIMENTO PARA BEBE GERBER, MANZANA (POSTRE, JUNIOR)"
78,2.0,63.68,15.92,0.0,0.0,"ALIMENTO PARA BEBE GERBER, MANZANA (PURE)"
79,2.0,67.45,14.15,0.97,0.53,"ALIMENTO PARA BEBE GERBER, MANZANA CON AVENA (PURE)"
80,2.0,54.2,13.55,0.0,0.0,"ALIMENTO PARA BEBE GERBER, MANZANA CON OTRA FRUTA (JUGO)"
81,2.0,74.98,16.47,0.7,0.7,"ALIMENTO PARA BEBE GERBER, MANZANA CON YOGURT (PURE)"
82,2.0,49.0,11.6,0.2,0.2,"ALIMENTO PARA BEBE GERBER, MANZANA Y CHABACANO (PURE)"
83,2.0,77.85,19.46,0.0,0.0,"ALIMENTO PARA BEBE GERBER, MANZANA Y OTRA FRUTA CON DHA (PURE)"
84,2.0,62.91,15.25,0.11,0.23,"ALIMENTO PARA BEBE GERBER, PAPAYA Y MANZANA (PURE)"
85,2.0,65.08,8.52,2.36,2.44,"ALIMENTO PARA BEBE GERBER, PASTITAS CON RES (JUNIOR)"
86,2.0,65.32,7.48,2.44,3.36,"ALIMENTO PARA BEBE GERBER, PAVO CON ARROZ A LA MEX (JUNIOR)"
87,2.0,91.0,6.0,4.8,6.0,"ALIMENTO PARA BEBE GERBER, PAVO CON VERDURAS (PURE)"
88,2.0,47.44,11.86,0.0,0.0,"ALIMENTO PARA BEBE GERBER, PERA (JUGO)"
89,2.0,75.28,18.82,0.0,0.0,"ALIMENTO PARA BEBE GERBER, PERA (PURE)"
90,2.0,76.09,19.02,0.0,0.0,"ALIMENTO PARA BEBE GERBER, PERA Y OTRA FRUTA CON DHA (PURE)"
91,2.0,46.0,10.9,0.1,0.3,"ALIMENTO PARA BEBE GERBER, PERA Y PIÑA (PURE)"
92,2.0,70.76,17.69,0.0,0.0,"ALIMENTO PARA BEBE GERBER, PLATANO (PURE)"
93,2.0,75.0,18.4,0.1,0.2,"ALIMENTO PARA BEBE GERBER, PLATANO Y PIÑA CON TAPIOCA (PURE)"
94,2.0,68.52,10.0,1.96,2.72,"ALIMENTO PARA BEBE GERBER, POLLO A LA MANZANA (JUNIOR)"
95,2.0,71.72,7.24,3.4,3.04,"ALIMENTO PARA BEBE GERBER, POLLO CON ARROZ A LA MEX (JUNIOR)"
96,2.0,80.92,9.0,3.48,3.4,"ALIMENTO PARA BEBE GERBER, POLLO CON PAPAS (JUNIOR)"
97,2.0,81.0,5.9,3.6,6.2,"ALIMENTO PARA BEBE GERBER, POLLO CON VERDURAS (PURE)"
98,2.0,64.73,10.98,1.41,2.38,"ALIMENTO PARA BEBE GERBER, PROMEDIO (PURE)"
99,2.0,81.0,2.43,2.52,12.03,"ALIMENTO PARA BEBE GERBER, RES (PURE)"
100,2.0,32.56,5.13,0.08,2.83,"ALIMENTO PARA BEBE GERBER, RES CON VERDURAS (PURE)"
101,2.0,73.09,8.4,3.0,3.09,"ALIMENTO PARA BEBE GERBER, SALMON A LAS FINAS HIERBAS"
102,2.0,96.9,13.27,3.09,3.98,"ALIMENTO PARA BEBE GERBER, SOPA DE SALMON"
103,2.0,48.0,7.7,0.9,2.0,"ALIMENTO PARA BEBE GERBER, TERNERA (PURE)"
104,2.0,81.0,1.51,2.45,13.12,"ALIMENTO PARA BEBE GERBER, TERNERA (PURE)"
105,2.0,70.8,10.0,1.84,3.56,"ALIMENTO PARA BEBE GERBER, TERNERA A LA NARANJA (JUNIOR)"
106,2.0,70.83,6.88,3.35,3.29,"ALIMENTO PARA BEBE GERBER, TERNERA CON VERDURAS Y PASTA (PURE)"
107,2.0,387.96,81.33,4.0,6.66,"ALIMENTO PARA BEBE GERBER, TRIGO CON MANZANA (CEREAL)"
108,2.0,381.93,81.33,3.33,6.66,"ALIMENTO PARA BEBE GERBER, TRIGO CON MIEL (CEREAL)"
109,2.0,57.6,14.4,0.0,0.0,"ALIMENTO PARA BEBE GERBER, UVA BLANCA (JUGO)"
110,2.0,64.14,13.52,0.1,2.29,"ALIMENTO PARA BEBE GERBER, VAINILLA (POSTRE, JUNIOR)"
111,2.0,391.75,75.0,5.75,10.0,"ALIMENTO PARA BEBE GERBER, VAINILLA, NUTRILAC JUNIOR (CEREAL)"
112,2.0,54.0,27.6,2.0,2.0,"ALIMENTO PARA BEBE GERBER, VERDURAS CON CARNE DE CORDERO (PURE)"
113,2.0,77.0,8.84,3.6,2.21,"ALIMENTO PARA BEBE GERBER, VERDURAS CON CARNE DE RES (JUNIOR)"
114,2.0,40.0,6.9,0.4,2.2,"ALIMENTO PARA BEBE GERBER, VERDURAS CON HIGADO (PURE)"
115,2.0,50.0,6.9,1.7,1.8,"ALIMENTO PARA BEBE GERBER, VERDURAS CON JAMON (PURE)"
116,2.0,65.29,6.63,3.09,2.74,"ALIMENTO PARA BEBE GERBER, VERDURAS CON PAVO Y ARROZ (PURE)"
117,2.0,66.0,6.47,3.11,3.0,"ALIMENTO PARA BEBE GERBER, VERDURAS CON PAVO Y PASTA (PURE)"
118,2.0,44.0,6.6,1.1,1.9,"ALIMENTO PARA BEBE GERBER, VERDURAS CON POLLO (JUNIOR)"
119,2.0,82.0,7.07,4.24,3.89,"ALIMENTO PARA BEBE GERBER, VERDURAS CON POLLO Y ARROZ (PURE)"
120,2.0,83.12,6.19,4.6,4.24,"ALIMENTO PARA BEBE GERBER, VERDURAS CON POLLO Y PASTA (PURE)"
121,2.0,79.79,7.52,4.15,3.09,"ALIMENTO PARA BEBE GERBER, VERDURAS CON RES Y ARROZ (PURE)"
122,2.0,71.0,8.6,3.3,1.6,"ALIMENTO PARA BEBE GERBER, VERDURAS CON TOCINO (PURE)"
123,2.0,44.0,9.5,0.1,1.2,"ALIMENTO PARA BEBE GERBER, VERDURAS MIXTAS (PURE)"
124,2.0,70.05,12.45,1.61,1.44,"ALIMENTO PARA BEBE GERBER, YOGURT CON FRUTAS (NECTAR)"
125,2.0,36.0,7.74,0.29,0.49,"ALIMENTO PARA BEBE GERBER, ZANAHORIA (PURE)"
126,2.0,365.1,77.9,1.5,10.0,"ALIMENTO PARA BEBE NESTUM, 5 Y 8 CEREALES CON PROBIOTICOS (CEREAL)"
127,2.0,379.0,85.9,1.0,6.6,"ALIMENTO PARA BEBE NESTUM, ARROZ CON PROBIOTICOS (CEREAL)"
128,2.0,358.0,70.8,5.2,7.0,"ALIMENTO PARA BEBE NESTUM, AVENA"
129,2.0,387.2,75.5,5.2,9.6,"ALIMENTO PARA BEBE NESTUM, AVENA CON PROBIOTICOS (CEREAL)"
130,2.0,378.73,79.82,2.9,8.32,"ALIMENTO PARA BEBE NESTUM, CEREAL (PROMEDIO)"
131,2.0,416.0,67.5,9.5,15.0,"ALIMENTO PARA BEBE NESTUM, CERELAC CON PROBIOTICOS"
132,2.0,366.7,84.6,0.7,5.5,"ALIMENTO PARA BEBE NESTUM, PLUS ARROZ Y MANZANA (CEREAL)"
133,2.0,371.4,84.0,1.0,6.6,"ALIMENTO PARA BEBE NESTUM, PLUS AVENA Y CIRUELA (CEREAL)"
134,2.0,383.0,86.2,1.0,7.3,"ALIMENTO PARA BEBE NESTUM, TRIGO CON FRUTA Y PROBIOTICOS (CEREAL)"
135,2.0,382.2,86.0,1.0,7.3,"ALIMENTO PARA BEBE NESTUM, TRIGO CON MIEL Y PROBIOTICOS (CEREAL)"
136,2.0,53.0,8.66,1.12,2.04,"ALIMENTO PARA BEBE, SOPA CONDENSADA DE POLLO CON VERDURAS (INDUSTRIALIZADA)"
137,2.0,36.0,8.2,0.4,1.4,"ALIMENTO PARA BEBE, SOPA CONDENSADA DE VERDURAS MIXTAS (INDUSTRIALIZADA)"
138,2.0,63.0,8.18,2.26,2.44,"ALIMENTO PARA BEBE, SOPA DE RES CON TALLARINES"
139,2.0,72.0,7.03,4.46,1.32,"CREMA CONDENSADA DE APIO PARA BEBE, INDUSTRIALIZADA"
140,2.0,67.16,7.36,3.34,1.9,"LECHE MATERNIZADA O FORMULA INFANTIL, PREPARACION ESTANDARIZADA"
141,2.0,502.0,55.0,25.0,14.2,"LECHE MATERNIZADA/FORMULA INFANTIL, EN POLVO"
142,3.0,357.0,89.25,0.0,0.0,ALGODON DE AZUCAR
143,3.0,341.0,85.13,0.0,0.0,"ALMIBAR DE FRUTAS, INDUSTRIALIZADO"
144,3.0,125.1,23.36,1.89,3.43,"ARROZ CON LECHE, PREPARACION ESTANDARIZADA"
145,3.0,360.0,87.0,0.0,0.0,ASPARTAME (CANDEREL-CLÁSICO)
146,3.0,0.0,0.0,0.0,0.0,AZUCAR Y ESTEVIA (SPLENDA NATURALS)
147,3.0,380.0,98.09,0.0,0.12,"AZUCAR, MASCABADO"
148,3.0,380.0,98.09,0.0,0.12,"AZUCAR, MORENA"
149,3.0,382.33,98.72,0.0,0.08,"AZUCAR, PROMEDIO"
150,3.0,387.0,99.98,0.0,0.0,"AZUCAR, REFINADA"
151,3.0,470.55,50.05,27.49,6.77,"BOCADILLOS DE GARBANZO DULCE, PREPARACION ESTANDARIZADA"
152,3.0,212.98,38.74,4.26,6.11,"BODOQUE DULCE, PREPARACION ESTANDARIZADA"
